Date;Origin;Destination;Immobility;Home_Category;Activity_Category;Recurrence;Volume
2020-04-11;Bas-Uele;Haut-Uele;1h;Outside_Resident;Outside_Worker;Primo;644
2020-04-11;Bas-Uele;Haut-Uele;1h;Outside_Resident;Outside_Worker;Occasional;40
2020-04-11;Bas-Uele;Haut-Uele;1h;Outside_Resident;Origin_Zone_Worker;Primo;40
2020-04-11;Bas-Uele;Haut-Uele;1h;Outside_Resident;Destination_Zone_Worker;Primo;80
2020-04-11;Bas-Uele;Haut-Uele;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;40
2020-04-11;Bas-Uele;Haut-Uele;1h;Destination_Zone_Resident;Outside_Worker;Primo;80
2020-04-11;Bas-Uele;Haut-Uele;3h;Outside_Resident;Outside_Worker;Primo;644
2020-04-11;Bas-Uele;Haut-Uele;3h;Outside_Resident;Outside_Worker;Occasional;40
2020-04-11;Bas-Uele;Haut-Uele;3h;Outside_Resident;Origin_Zone_Worker;Primo;40
2020-04-11;Bas-Uele;Haut-Uele;3h;Outside_Resident;Destination_Zone_Worker;Primo;80
2020-04-11;Bas-Uele;Haut-Uele;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;40
2020-04-11;Bas-Uele;Haut-Uele;3h;Destination_Zone_Resident;Outside_Worker;Primo;80
2020-04-11;Bas-Uele;Ituri;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;40
2020-04-11;Bas-Uele;Ituri;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;40
2020-04-11;Bas-Uele;Mongala;1h;Outside_Resident;Outside_Worker;Primo;1774
2020-04-11;Bas-Uele;Mongala;1h;Outside_Resident;Outside_Worker;Occasional;89
2020-04-11;Bas-Uele;Mongala;1h;Outside_Resident;Origin_Zone_Worker;Primo;40
2020-04-11;Bas-Uele;Mongala;1h;Outside_Resident;Destination_Zone_Worker;Primo;290
2020-04-11;Bas-Uele;Mongala;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;129
2020-04-11;Bas-Uele;Mongala;1h;Study_Zone_Resident;Outside_Worker;Primo;40
2020-04-11;Bas-Uele;Mongala;3h;Outside_Resident;Outside_Worker;Primo;1774
2020-04-11;Bas-Uele;Mongala;3h;Outside_Resident;Outside_Worker;Occasional;89
2020-04-11;Bas-Uele;Mongala;3h;Outside_Resident;Origin_Zone_Worker;Primo;40
2020-04-11;Bas-Uele;Mongala;3h;Outside_Resident;Destination_Zone_Worker;Primo;290
2020-04-11;Bas-Uele;Mongala;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;129
2020-04-11;Bas-Uele;Mongala;3h;Study_Zone_Resident;Outside_Worker;Primo;40
2020-04-11;Bas-Uele;Nord-Kivu;1h;Outside_Resident;Destination_Zone_Worker;Primo;40
2020-04-11;Bas-Uele;Nord-Kivu;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;32
2020-04-11;Bas-Uele;Nord-Kivu;3h;Outside_Resident;Destination_Zone_Worker;Primo;40
2020-04-11;Bas-Uele;Nord-Kivu;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;32
2020-04-11;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Outside_Worker;Primo;947
2020-04-11;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Destination_Zone_Worker;Primo;129
2020-04-11;Bas-Uele;Nord-Ubangi;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;40
2020-04-11;Bas-Uele;Nord-Ubangi;1h;Destination_Zone_Resident;Outside_Worker;Primo;89
2020-04-11;Bas-Uele;Nord-Ubangi;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;178
2020-04-11;Bas-Uele;Nord-Ubangi;3h;Outside_Resident;Outside_Worker;Primo;947
2020-04-11;Bas-Uele;Nord-Ubangi;3h;Outside_Resident;Destination_Zone_Worker;Primo;129
2020-04-11;Bas-Uele;Nord-Ubangi;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;40
2020-04-11;Bas-Uele;Nord-Ubangi;3h;Destination_Zone_Resident;Outside_Worker;Primo;89
2020-04-11;Bas-Uele;Nord-Ubangi;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;178
2020-04-11;Bas-Uele;Tshopo;1h;Outside_Resident;Outside_Worker;Primo;4140
2020-04-11;Bas-Uele;Tshopo;1h;Outside_Resident;Origin_Zone_Worker;Primo;120
2020-04-11;Bas-Uele;Tshopo;1h;Outside_Resident;Destination_Zone_Worker;Primo;2381
2020-04-11;Bas-Uele;Tshopo;1h;Outside_Resident;Destination_Zone_Worker;Occasional;80
2020-04-11;Bas-Uele;Tshopo;1h;Outside_Resident;Study_Zone_Worker;Primo;40
2020-04-11;Bas-Uele;Tshopo;1h;Origin_Zone_Resident;Outside_Worker;Primo;241
2020-04-11;Bas-Uele;Tshopo;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;402
2020-04-11;Bas-Uele;Tshopo;1h;Origin_Zone_Resident;Destination_Zone_Worker;Primo;241
2020-04-11;Bas-Uele;Tshopo;1h;Origin_Zone_Resident;Destination_Zone_Worker;Occasional;40
2020-04-11;Bas-Uele;Tshopo;1h;Destination_Zone_Resident;Outside_Worker;Primo;523
2020-04-11;Bas-Uele;Tshopo;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;4971
2020-04-11;Bas-Uele;Tshopo;1h;Destination_Zone_Resident;Destination_Zone_Worker;Occasional;282
2020-04-11;Bas-Uele;Tshopo;1h;Study_Zone_Resident;Outside_Worker;Primo;56
2020-04-11;Bas-Uele;Tshopo;1h;Study_Zone_Resident;Study_Zone_Worker;Primo;161
2020-04-11;Bas-Uele;Tshopo;3h;Outside_Resident;Outside_Worker;Primo;4100
2020-04-11;Bas-Uele;Tshopo;3h;Outside_Resident;Origin_Zone_Worker;Primo;120
2020-04-11;Bas-Uele;Tshopo;3h;Outside_Resident;Destination_Zone_Worker;Primo;2381
2020-04-11;Bas-Uele;Tshopo;3h;Outside_Resident;Destination_Zone_Worker;Occasional;80
2020-04-11;Bas-Uele;Tshopo;3h;Outside_Resident;Study_Zone_Worker;Primo;40
2020-04-11;Bas-Uele;Tshopo;3h;Origin_Zone_Resident;Outside_Worker;Primo;241
2020-04-11;Bas-Uele;Tshopo;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;402
2020-04-11;Bas-Uele;Tshopo;3h;Origin_Zone_Resident;Destination_Zone_Worker;Primo;241
2020-04-11;Bas-Uele;Tshopo;3h;Origin_Zone_Resident;Destination_Zone_Worker;Occasional;40
2020-04-11;Bas-Uele;Tshopo;3h;Destination_Zone_Resident;Outside_Worker;Primo;523
2020-04-11;Bas-Uele;Tshopo;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;5011
2020-04-11;Bas-Uele;Tshopo;3h;Destination_Zone_Resident;Destination_Zone_Worker;Occasional;241
2020-04-11;Bas-Uele;Tshopo;3h;Study_Zone_Resident;Outside_Worker;Primo;56
2020-04-11;Bas-Uele;Tshopo;3h;Study_Zone_Resident;Study_Zone_Worker;Primo;161
2020-04-11;Equateur;Kinshasa;1h;Outside_Resident;Outside_Worker;Primo;11792
